chapter,paragraph_in_chapter,before,after
Chapter Five,128,Not a laugh. Not even close. But the faintest exhale,"Not a laugh, not even close, but the faintest exhale"
Chapter Seven,2,Not because she’d earned it. Not because it was tactically sound. Because,"Not because she’d earned it or because it was tactically sound, but because"
Chapter Eight,74,Not yet. Not in front of them.,"Not yet, and not in front of them."
Chapter Nine,33,Not for vengeance. Not for justice. Not for any reason that his hands could offer.,Not for vengeance or justice or any reason that his hands could offer.
Chapter Nine,44,Not here. Not now. Not when they’d,"Not here, not now, not when they’d"
Chapter Nine,65,Not angry. Not resigned. Flat.,"Not angry, not resigned. Flat."
Chapter Ten,119,"Not anger. Not satisfaction. Not the manic, restless energy","No anger, no satisfaction, none of the manic, restless energy"
Chapter Fifteen,13,Not from a stance. Not from a guard position. From,Not from a stance or a guard position but from
Chapter Fifteen,42,Not smoothly. Not with the prophet’s composure.,"Not smoothly, and not with the prophet’s composure."
Chapter Seventeen,6,Not the servants. Not the dragon. Voices,"Not the servants, not the dragon. Voices"
Chapter Seventeen,81,Not rage. Not defiance. The raw,"Not rage, not defiance. The raw"
Chapter Twenty-One,73,‘Not in a stranger’s shop. Not alone. Not with them thinking,"‘Not in a stranger’s shop, not alone, not with them thinking"
Chapter Twenty-Four,51,“Not in the open. Not with what we’re wearing.,"“Not in the open, not with what we’re wearing."
Chapter Twenty-Six,92,Not dark. Not sinister. Bright,Nothing dark or sinister about it. Bright
Chapter Thirty,51,Not parallel. Not independent. Integrated.”,"Not parallel, not independent. Integrated.”"
Chapter Fifteen,3,Vibration. Pressure. Weight. Every footstep,"Vibration, pressure, weight. Every footstep"
Chapter Twenty-Two,6,Grain. Meat. Medicine. Fuel. Blankets. Clean water,"Grain, meat, medicine, fuel, blankets. Clean water"
Chapter Twenty-Two,41,Anger. Disgust. Exhaustion. But,"Anger, disgust, exhaustion. But"
Chapter Twenty-Five,55,White. Trees. Snow. The wind,"White, trees, snow. The wind"
Chapter Three,94,"His body went from a moving guide to that stationary wall again, and the sudden halt nearly sent her into his back.",The halt was so sudden it nearly sent her into his back.
Chapter Six,91,The word landed on the group like a stone in still water.,"The word landed, and the circle went quiet around it."
Chapter Five,5,the kind of cold that was an inconvenience rather than a threat,an inconvenience rather than a threat
Chapter Eight,33,the kind of extravagance that came from a treasury so deep,extravagance from a treasury so deep
Chapter Eight,42,"lavishly warm, the kind of warmth that Cain hadn’t felt in a long time","lavishly warm, a warmth Cain hadn’t felt in a long time"
Chapter Ten,7,the kind of alarm that if struck would wake every soldier,"an alarm that, struck, would wake every soldier"
Chapter Ten,83,the kind of thing that if it connected with that bell would produce a sound heard across the entire keep,built to be heard across the entire keep
Chapter Fourteen,9,the kind of mana that existed in people who had been taught the basics and never progressed past them,the mana of basics learned and never built on
Chapter Nineteen,6,"and the kind of careful, exhausting correspondence that made Leo wish","and careful, exhausting correspondence that made Leo wish"
Chapter Nineteen,7,the kind of structure you built when you needed a war room and didn’t have time for architecture,a war room built by people with no time for architecture
Chapter Twenty,15,the kind of space that accumulated personality when strong-willed people occupied it for any length of time,a space that had accumulated personality from the strong-willed people occupying it
Chapter Twenty-Seven,67,the kind of stone that held cold rather than reflecting it,stone that held cold rather than reflecting it
Chapter Twenty-Nine,19,the kind of frontier outfit that Kordova’s southern settlers wore,frontier clothes like Kordova’s southern settlers wore
Chapter Five,87,Loved it the way a man loves a challenge that’s within his skill set.,"Loved it, a challenge sitting comfortably within his skill set."
Chapter Five,117,the way a dog’s ears turn toward a sound it hasn’t decided is a threat yet,attention snagging on a sound she hadn’t decided was a threat yet
Chapter Six,47,the way you’d read a sign on the road,like reading a sign on the road
Chapter Eight,21,the way a soldier files a report,a soldier filing a report
Chapter Ten,120,"Become part of the room the way a piece of furniture was part of a room, present","Become part of the room, furniture, present"
Chapter Eleven,51,swatting at her the way a man swats at a fly,swatting at her like a fly
Chapter Nineteen,70,"Not consciously, the way you don’t consciously shift languages when you speak to someone in their mother tongue.","Not consciously, no more conscious than shifting languages to match someone’s mother tongue."
Chapter Twenty,26,"The room arranged itself around him the way water arranges itself around a stone, naturally, without effort.","The room arranged itself around him, naturally, without effort."
Chapter Twenty-Five,34,sealed the subject the way a lid seals a jar,sealed the subject shut
Chapter Twenty-Nine,55,He said it the way you’d say it if the logic was so obvious it barely warranted explanation.,He said it like the logic was so obvious it barely warranted explanation.
Chapter One,55,five days south on foot,five days east on foot
Chapter Five,4,"a shapeless tangle of blankets and silver hair on the cot, so still she might have been dead if not for the occasional twitch","a shapeless tangle of blankets on the cot, so still she might have been dead if not for the occasional rustle when she twitched"
Chapter Four,78,Wolkenfeld and Bloodridge to assess conditions,Wolkenfeld and Bloomridge to assess conditions
Chapter Four,85,"Bloodridge, another week past that","Bloomridge, another week past that"
Chapter Three,17,"“Yes,” Five voices said at once","“Yes,” four voices said at once"
