fix,before,after
copyedit,"couldn’t be older than Carina, couldn’t be older than twenty, and yet","couldn’t be older than Carina, and yet"
copyedit,seven-foot satyr in full as gravity,seven-foot satyr in full armor as gravity
copyedit,weight of a accusation,weight of an accusation
copyedit,And he’s sure it continued,And he was sure it continued
copyedit,"building since Drachenburg, his right leg","building since Drachenburg’s grave, his right leg"
copyedit,and… She had a disagreement,and… she had a disagreement
copyedit,Accptance that this was,Acceptance that this was
copyedit,Uthesia’s ring. And hers.,Uthesia’s ring. And her wife’s.
copyedit,her hands in her land.,her hands in her lap.
copyedit,considered the question was care,considered the question with care
copyedit,wobbled before falling to the ground,wobbled before falling to the ground.
copyedit,He stopped brushing. His hand went,He set the grapes aside. His hand went
copyedit,He picked up the brush and resumed working on the sections,He picked up the brush and went to work on the sections
copyedit,Arches formed above the walls as it formed a cathedral.,Arches formed above the walls as the light took the shape of a cathedral.
copyedit,"send Ghislaine, she’s right here in the—","send Ghislaine, isn’t she still in the—"
copyedit,"Firing a shot, the shield was immediately punched through, the round hit the arm",He fired. The shot punched through the shield and hit the arm at the elbow
copyedit,"Pure, unprocessed, a  animal response","Pure, unprocessed, an animal response"
copyedit,"that would,  if executed correctly","that would, if executed correctly"
qi->ki,2 instances,standardized to ki
