id,chapter,paragraph_in_chapter,before,after
B1-001,Chapter One,5,"Footsteps on frozen ground, several sets, moving with the slow, heavy trudge of people who weren’t going anywhere good.","Footsteps on frozen ground, several sets, slow and heavy, going nowhere good."
B1-002,Chapter One,6,"The sound of hooves on frozen earth, the faint clink of armor that was never quite still no matter how carefully its wearer moved, and beneath it all the low, steady breathing of someone who had long since made peace with the cold, or at least with enduring it.","The sound of hooves on frozen earth, the faint clink of armor that was never quite still no matter how carefully its wearer moved, and beneath it all, breathing, low and steady, long since at peace with the cold, or at least with enduring it."
B1-004,Chapter One,50,"To her left she heard Carina drop onto the wood with the graceless ease of someone who never worried about how she landed, and beyond her, the lighter, more deliberate weight of Uthesia.","To her left she heard Carina drop onto the wood, graceless and easy, never a thought for how she landed, and beyond her, the lighter, more deliberate weight of Uthesia."
B1-007,Chapter Four,30,"She heard the murmuring start, low and bitter, the frequency of people who had been waiting a long time watching someone skip ahead.","She heard the murmuring start, low and bitter, the sound a long wait makes when somebody skips it."
B1-009,Chapter Four,41,"The guards at the gate were city watch, not military, but they held themselves with the stiff formality of people who’d been given authority they weren’t entirely sure how to wield.","The guards at the gate were city watch, not military, but they held themselves with a stiff formality, authority they weren’t entirely sure how to wield."
B1-010,Chapter Four,41,"One of them, a tall woman with a clipboard and the frayed patience of someone who’d been doing this for too many days straight, stepped forward when they approached.","One of them, a tall woman with a clipboard and patience frayed by too many days of this, stepped forward when they approached."
B1-011,Chapter Four,44,"Gormund watched them linger on Cain, specifically on the horns and the goat legs, and then move on with the professional disinterest of someone who had seen enough strange things this week that a satyr in plate armor was barely worth noting.","Gormund watched them linger on Cain, specifically on the horns and the goat legs, and then move on with professional disinterest. A satyr in plate armor was, apparently, not even this week’s strangest thing."
B1-012,Chapter Four,70,The voice of a man who had been making decisions without pause for weeks and had stopped pretending any of them were easy.,"A voice worn down by weeks of decisions made without pause, past pretending any of them were easy."
B1-013,Chapter Four,75,"It was controlled, deliberate, the breathing of someone who used pauses as tools rather than rests.","It was controlled, deliberate breathing. He used pauses as tools, not rests."
B1-014,Chapter Four,104,"“I’ll take the other cot,” Uthesia said, and settled onto it with the measured ease of someone who could sleep on broken glass and not complain.","“I’ll take the other cot,” Uthesia said, and settled onto it with measured ease. She could have slept on broken glass without complaint."
B1-016,Chapter Four,111,Carina got five bowls of stew from a barkeep who handed them over with the mechanical efficiency of someone who’d stopped counting.,"Carina got five bowls of stew from a barkeep who handed them over mechanically, long past counting."
B1-017,Chapter Four,114,Gormund took his bowl without comment and started eating with the focused determination of a man who understood that hot food was not to be wasted on conversation.,Gormund took his bowl without comment and started eating with focused determination. Hot food was not to be wasted on conversation.
B1-018,Chapter Five,15,"Uthesia appeared from somewhere, settling into the seat to Muse’s left with the quiet efficiency of someone who had already been awake for hours and accomplished things she had no intention of discussing.","Uthesia appeared from somewhere, settling into the seat to Muse’s left, quiet and efficient, already hours into a day she had no intention of discussing."
B1-020,Chapter Five,64,"The motion was smooth and instinctive, the muscle memory of someone who had drilled with polearms until the movements lived in his joints.","The motion was smooth and instinctive, polearm drills worn so deep the movements lived in his joints."
B1-021,Chapter Five,72,Her hands drifted over sword hilts and dagger grips with the unconscious evaluation of someone who’d been handling weapons since childhood.,"Her hands drifted over sword hilts and dagger grips, weighing them without meaning to. She’d been handling weapons since she could walk."
B1-022,Chapter Five,92,He set it down with the contempt of a man who took bad craftsmanship as a personal attack.,He set it down with contempt. Bad craftsmanship was a personal attack.
B1-023,Chapter Six,86,"“Uthesia,” Carina said, moving on with the tactical grace of someone who could feel the mood getting heavy and refused to let it.","“Uthesia,” Carina said, moving on with tactical grace, feeling the mood get heavy and refusing to let it."
B1-026,Chapter Seven,10,"Her grip had been steady all morning, the easy rhythm of a woman who’d mapped his movements well enough to anticipate his steps.","Her grip had been steady all morning, riding an easy rhythm, his movements mapped well enough by now to anticipate his steps."
B1-027,Chapter Seven,39,"The kick was precise, targeted, the technique of someone who understood anatomy well enough to know where joints bent and where they didn’t.","The kick was precise, targeted, schooled in anatomy. Where joints bent, and where they didn’t."
B1-028,Chapter Seven,59,"He’d slung the crossbow and drawn the hammer, and he came in from the side with the compact, deliberate stride of a man who didn’t waste steps.","He’d slung the crossbow and drawn the hammer, and he came in from the side at a compact, deliberate stride, wasting no steps."
B1-029,Chapter Seven,124,"Carina found them an hour later, jogging back down the road with the easy, loping gait of someone who could run all day and was offended by the concept of fatigue.","Carina found them an hour later, jogging back down the road at an easy lope, built to run all day and personally offended by fatigue."
B1-031,Chapter Eight,27,"Muse heard the silence of their observation, the absence of greeting or hostility, just the flat, evaluating stare of people who had stopped expecting help and were now merely exhausted.","Muse heard the silence of their observation, the absence of greeting or hostility, just flat, evaluating stares. Past expecting help. Merely exhausted now."
B1-033,Chapter Eight,55,"“The roads belong to Kordova, not to any one Lord,” Muse said from Cain’s left, and her voice was warm and measured and carried the weight of someone who had once spoken on behalf of a goddess.","“The roads belong to Kordova, not to any one Lord,” Muse said from Cain’s left, and her voice was warm and measured, carrying weight it had learned speaking on behalf of a goddess."
B1-034,Chapter Eight,63,"He smiled, and the smile had no warmth in it, just the satisfaction of someone who was about to demonstrate how much more they knew than you.","He smiled, and the smile had no warmth in it, just satisfaction, the pleasure of knowing more than you and being about to prove it."
B1-035,Chapter Eight,91,"The paladin stared back with one dark eye and the steadiness of a man who believed in process even when the process was broken, because the alternative was becoming the thing you were trying to fix.","The paladin stared back with one dark eye, steady, believing in process even when the process was broken, because the alternative was becoming the thing you were trying to fix."
B1-036,Chapter Nine,4,"Not angry, not challenging, confused, the expression of someone who’d been told water flows uphill.","Not angry, not challenging, confused, the look of being told water flows uphill."
B1-037,Chapter Nine,10,"But here in the real world, the civilized world where killing a Lord of the 72 had consequences that rippled across continents and generations, it was the logic of someone who had never had to live with the aftermath of the simple solution.","But here in the real world, the civilized world where killing a Lord of the 72 had consequences that rippled across continents and generations, it was logic that had never had to live with the aftermath of the simple solution."
B1-038,Chapter Nine,11,"“We try it his way first,” Cain said, and his voice carried the weight of a man who was saying it as much to himself as to her.","“We try it his way first,” Cain said, and he was saying it as much to himself as to her."
B1-039,Chapter Nine,29,"He hadn’t asked because he’d known, with the certainty of a man who had spent a very long time in the dark with nothing but his own mind for company, that the answer would have destroyed him.","He hadn’t asked because he’d known, the way you know things after a very long time in the dark with nothing but your own mind for company, that the answer would have destroyed him."
B1-040,Chapter Nine,51,The man listened to Cain’s request with the hollow patience of someone who had heard a hundred versions of the same thing and already knew the answer.,"The man listened to Cain’s request with hollow patience, a hundred versions of it already heard, the answer already chosen."
B1-042,Chapter Nine,108,"Cain listened and said little, adding a word here and there about guard behavior and patrol patterns, the quiet expertise of a man who had spent a lifetime understanding how armed men moved and thought.","Cain listened and said little, adding a word here and there about guard behavior and patrol patterns, quiet expertise from a lifetime of understanding how armed men moved and thought."
B1-044,Chapter Ten,59,He rolled out of the pipe and onto his feet with the practiced movement of someone who’d crawled through worse.,"He rolled out of the pipe and onto his feet, practiced. He’d crawled through worse."
B1-045,Chapter Ten,87,"Gormund’s flask, thrown sidearm with the compact, vicious accuracy of a man who hit things for a living.","Gormund’s flask, thrown sidearm, compact and vicious, the aim of a lifetime spent hitting things."
B1-046,Chapter Ten,132,"Muse’s voice came from the foot of the bed, and it was gentle, genuinely gentle, the voice of a woman who had spent her entire life believing that people could choose to be better.","Muse’s voice came from the foot of the bed, and it was gentle, genuinely gentle, shaped by a lifetime of believing people could choose to be better."
B1-047,Chapter Eleven,38,"Not thinking, moving, her body reacting to violence with the instincts of someone who had been standing beside soldiers her whole life.","Not thinking, moving, her body answering violence with instincts learned standing beside soldiers her whole life."
B1-048,Chapter Eleven,58,"He was bleeding from a gash above his missing eye, his breastplate cratered inward on the left side, but he was on his feet and the halberd was in his hands and his single eye was locked on Andromalius with the flat, terrible focus of a man who had stopped thinking about mercy.","He was bleeding from a gash above his missing eye, his breastplate cratered inward on the left side, but he was on his feet and the halberd was in his hands and his single eye was locked on Andromalius with a flat, terrible focus that had stopped thinking about mercy."
B1-050,Chapter Twelve,38,"“How touching,” Andromalius said from his knees, and his voice was lighter than it should have been, amused and bloody and carrying the satisfaction of a man who had been listening and decided to use what he’d heard.","“How touching,” Andromalius said from his knees, and his voice was lighter than it should have been, amused and bloody and satisfied. He’d been listening, and he’d decided to use it."
B1-053,Chapter Sixteen,2,"The grunt of impact, the scrape of bare feet, the ragged breathing of a man who was bleeding from six places, all of it painted a picture that wasn’t sight but was close enough.","The grunt of impact, the scrape of bare feet, the ragged breathing of a man bleeding from six places, all of it painted a picture that wasn’t sight but was close enough."
